Id,Kingdom,Phylum,Class,Order,Family,Genus,Species,Subspecies,Scientific Name,Rank,Listing
5062,Animalia,Chordata,Mammalia,Artiodactyla,Antilocapridae,Antilocapra,americana,,Antilocapra americana,SPECIES,I
4464,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Addax,nasomaculatus,,Addax nasomaculatus,SPECIES,I
3905,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ammotragus,lervia,,Ammotragus lervia,SPECIES,II
4985,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Antilope,cervicapra,,Antilope cervicapra,SPECIES,III
5874,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,gaurus,,Bos gaurus,SPECIES,I
7471,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,mutus,,Bos mutus,SPECIES,I
11180,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,sauveli,,Bos sauveli,SPECIES,I
65574,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Boselaphus,tragocamelus,,Boselaphus tragocamelus,SPECIES,III
6811,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bubalus,arnee,,Bubalus arnee,SPECIES,III
4425,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bubalus,depressicornis,,Bubalus depressicornis,SPECIES,I
8124,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bubalus,mindorensis,,Bubalus mindorensis,SPECIES,I
10958,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bubalus,quarlesi,,Bubalus quarlesi,SPECIES,I
3135,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Budorcas,taxicolor,,Budorcas taxicolor,SPECIES,II
67978,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,caucasica,,Capra caucasica,SPECIES,II
3780,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,falconeri,,Capra falconeri,SPECIES,I
65582,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,hircus,aegagrus,Capra hircus aegagrus,SUBSPECIES,III
65566,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,sibirica,,Capra sibirica,SPECIES,III
3881,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capricornis,milneedwardsii,,Capricornis milneedwardsii,SPECIES,I
3939,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capricornis,rubidus,,Capricornis rubidus,SPECIES,I
7979,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capricornis,sumatraensis,,Capricornis sumatraensis,SPECIES,I
10594,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capricornis,thar,,Capricornis thar,SPECIES,I
8418,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Cephalophus,brookei,,Cephalophus brookei,SPECIES,II
4497,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Cephalophus,dorsalis,,Cephalophus dorsalis,SPECIES,II
4194,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Cephalophus,jentinki,,Cephalophus jentinki,SPECIES,I
8002,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Cephalophus,ogilbyi,,Cephalophus ogilbyi,SPECIES,II
10119,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Cephalophus,silvicultor,,Cephalophus silvicultor,SPECIES,II
7092,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Cephalophus,zebra,,Cephalophus zebra,SPECIES,II
12162,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Damaliscus,pygargus,pygargus,Damaliscus pygargus pygargus,SUBSPECIES,II
65567,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Gazella,bennettii,,Gazella bennettii,SPECIES,III
3080,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Gazella,cuvieri,,Gazella cuvieri,SPECIES,I
5673,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Gazella,dorcas,,Gazella dorcas,SPECIES,III
9611,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Gazella,leptoceros,,Gazella leptoceros,SPECIES,I
12301,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Hippotragus,niger,variani,Hippotragus niger variani,SUBSPECIES,I
4050,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Kobus,leche,,Kobus leche,SPECIES,II
4344,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Naemorhedus,baileyi,,Naemorhedus baileyi,SPECIES,I
7159,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Naemorhedus,caudatus,,Naemorhedus caudatus,SPECIES,I
9378,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Naemorhedus,goral,,Naemorhedus goral,SPECIES,I
6231,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Naemorhedus,griseus,,Naemorhedus griseus,SPECIES,I
10002,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Nanger,dama,,Nanger dama,SPECIES,I
11205,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Oryx,dammah,,Oryx dammah,SPECIES,I
4154,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Oryx,leucoryx,,Oryx leucoryx,SPECIES,I
7093,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,ammon,,Ovis ammon,SPECIES,II
35596,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,arabica,,Ovis arabica,SPECIES,II
98436,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,bochariensis,,Ovis bochariensis,SPECIES,II
3036,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,canadensis,,Ovis canadensis,SPECIES,II
98883,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,collium,,Ovis collium,SPECIES,II
98424,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,cycloceros,,Ovis cycloceros,SPECIES,II
98884,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,darwini,,Ovis darwini,SPECIES,II
33589,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,gmelini,,Ovis gmelini,SPECIES,I
98423,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,hodgsoni,,Ovis hodgsoni,SPECIES,I
32866,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,jubata,,Ovis jubata,SPECIES,II
98885,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,karelini,,Ovis karelini,SPECIES,II
30824,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,nigrimontana,,Ovis nigrimontana,SPECIES,I
98886,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,polii,,Ovis polii,SPECIES,II
98952,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,punjabiensis,,Ovis punjabiensis,SPECIES,II
98887,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,severtzovi,,Ovis severtzovi,SPECIES,II
4814,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,vignei,,Ovis vignei,SPECIES,I
8117,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Pantholops,hodgsonii,,Pantholops hodgsonii,SPECIES,I
101271,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Philantomba,maxwellii,,Philantomba maxwellii,SPECIES,II
9997,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Philantomba,monticola,,Philantomba monticola,SPECIES,II
65584,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Pseudois,nayaur,,Pseudois nayaur,SPECIES,III
10395,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Pseudoryx,nghetinhensis,,Pseudoryx nghetinhensis,SPECIES,I
12328,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Rupicapra,pyrenaica,ornata,Rupicapra pyrenaica ornata,SUBSPECIES,II
9751,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Saiga,borealis,,Saiga borealis,SPECIES,II
8765,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Saiga,tatarica,,Saiga tatarica,SPECIES,II
9831,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Tetracerus,quadricornis,,Tetracerus quadricornis,SPECIES,III
10716,Animalia,Chordata,Mammalia,Artiodactyla,Camelidae,Lama,guanicoe,,Lama guanicoe,SPECIES,II
3436,Animalia,Chordata,Mammalia,Artiodactyla,Camelidae,Vicugna,vicugna,,Vicugna vicugna,SPECIES,I/II
4889,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Axis,calamianensis,,Axis calamianensis,SPECIES,I
10380,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Axis,kuhlii,,Axis kuhlii,SPECIES,I
3218,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Axis,porcinus,,Axis porcinus,SPECIES,III
12317,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Axis,porcinus,annamiticus,Axis porcinus annamiticus,SUBSPECIES,I
3625,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Blastocerus,dichotomus,,Blastocerus dichotomus,SPECIES,I
12260,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Cervus,elaphus,bactrianus,Cervus elaphus bactrianus,SUBSPECIES,II
12327,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Cervus,elaphus,barbarus,Cervus elaphus barbarus,SUBSPECIES,III
12225,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Cervus,elaphus,hanglu,Cervus elaphus hanglu,SUBSPECIES,I
12218,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Dama,dama,mesopotamica,Dama dama mesopotamica,SUBSPECIES,I
9206,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Hippocamelus,antisensis,,Hippocamelus antisensis,SPECIES,I
10636,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Hippocamelus,bisulcus,,Hippocamelus bisulcus,SPECIES,I
12217,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Mazama,temama,cerasina,Mazama temama cerasina,SUBSPECIES,III
8941,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Muntiacus,crinifrons,,Muntiacus crinifrons,SPECIES,I
34430,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Muntiacus,vuquangensis,,Muntiacus vuquangensis,SPECIES,I
12333,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,virginianus,mayensis,Odocoileus virginianus mayensis,SUBSPECIES,III
8832,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Ozotoceros,bezoarticus,,Ozotoceros bezoarticus,SPECIES,I
5742,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Pudu,mephistophiles,,Pudu mephistophiles,SPECIES,II
10291,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Pudu,puda,,Pudu puda,SPECIES,I
10612,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Rucervus,duvaucelii,,Rucervus duvaucelii,SPECIES,I
4547,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Rucervus,eldii,,Rucervus eldii,SPECIES,I
98186,Animalia,Chordata,Mammalia,Artiodactyla,Giraffidae,Giraffa,camelopardalis,,Giraffa camelopardalis,SPECIES,II
11049,Animalia,Chordata,Mammalia,Artiodactyla,Hippopotamidae,Hexaprotodon,liberiensis,,Hexaprotodon liberiensis,SPECIES,II
9229,Animalia,Chordata,Mammalia,Artiodactyla,Hippopotamidae,Hippopotamus,amphibius,,Hippopotamus amphibius,SPECIES,II
4120,Animalia,Chordata,Mammalia,Artiodactyla,Moschidae,Moschus,anhuiensis,,Moschus anhuiensis,SPECIES,II
9114,Animalia,Chordata,Mammalia,Artiodactyla,Moschidae,Moschus,berezovskii,,Moschus berezovskii,SPECIES,II
9271,Animalia,Chordata,Mammalia,Artiodactyla,Moschidae,Moschus,chrysogaster,,Moschus chrysogaster,SPECIES,I/II
8689,Animalia,Chordata,Mammalia,Artiodactyla,Moschidae,Moschus,cupreus,,Moschus cupreus,SPECIES,I
